date,open,high,low,close,volume,amount,turnover_rate,change_pct,amplitude
2023-09-15,4.586,4.596,4.546,4.566,63520.0,290032.32,0.0,,1.0998680158380953
2023-09-18,4.546,4.606,4.526,4.596,67720.0,311241.12,0.0,0.6570302233902758,1.767565178965976
2023-09-19,4.586,4.596,4.546,4.566,51709.0,236103.294,0.0,-0.6527415143603221,1.0998680158380953
2023-09-20,4.556,4.576,4.496,4.506,75362.0,339581.172,0.0,-1.3140604467805406,1.779359430604964
2023-09-21,4.486,4.526,4.476,4.506,66918.0,301532.50800000003,0.0,0.0,1.1170688114387806
2023-09-22,4.506,4.576,4.496,4.566,79585.0,363385.11,0.0,1.3315579227696217,1.779359430604964
2023-09-25,4.566,4.646,4.556,4.606,143859.0,662614.554,0.0,0.8760402978537085,1.9754170324846325
2023-09-26,4.606,4.616,4.556,4.586,97564.0,447428.504,0.0,-0.43421623968735723,1.3169446883230818
2023-09-27,4.616,4.726,4.576,4.656,168552.0,784778.112,0.0,1.5263846489315114,3.2779720279720364
2023-09-28,4.646,4.676,4.616,4.636,85067.0,394370.612,0.0,-0.42955326460479837,1.2998266897747075
2023-10-09,4.626,4.646,4.606,4.626,84801.0,392289.42600000004,0.0,-0.2157031924072461,0.8684324793747293
2023-10-10,4.626,4.666,4.596,4.606,84749.0,390353.894,0.0,-0.4323389537397415,1.5230635335074039
2023-10-11,4.606,4.626,4.536,4.546,108337.0,492500.00200000004,0.0,-1.3026487190620828,1.9841269841270006
2023-10-12,4.576,4.586,4.526,4.576,73709.0,337292.38399999996,0.0,0.6599208095028564,1.325673884224492
2023-10-13,4.556,4.566,4.516,4.546,74885.0,340427.21,0.0,-0.6555944055943952,1.1071744906997303
2023-10-16,4.546,4.556,4.476,4.506,86972.0,391895.832,0.0,-0.8798944126704789,1.7873100983020571
2023-10-17,4.516,4.526,4.436,4.456,84530.0,376665.68000000005,0.0,-1.1096316023080255,2.028854824165912
2023-10-18,4.456,4.456,4.346,4.356,107184.0,466893.504,0.0,-2.244165170556567,2.5310630464795287
2023-10-19,4.316,4.396,4.306,4.326,83649.0,361865.57399999996,0.0,-0.688705234159781,2.0901068276823005
2023-10-20,4.316,4.366,4.296,4.316,74933.0,323410.828,0.0,-0.2311604253351751,1.6294227188081796
2023-10-23,4.306,4.316,4.186,4.196,95207.0,399488.572,0.0,-2.7803521779425466,3.1055900621117987
2023-10-24,4.226,4.276,4.196,4.256,87589.0,372778.78400000004,0.0,1.4299332697807587,1.9065776930409932
2023-10-25,4.296,4.376,4.286,4.356,110650.0,481991.39999999997,0.0,2.349624060150357,2.0998600093327284
2023-10-26,4.356,4.406,4.296,4.406,100784.0,444054.30399999995,0.0,1.1478420569329684,2.560521415270005
2023-10-27,4.396,4.476,4.376,4.466,97151.0,433876.36600000004,0.0,1.36177939173856,2.285191956124306
2023-10-30,4.506,4.566,4.486,4.516,126381.0,570736.596,0.0,1.119570085087318,1.78332590280874
2023-10-31,4.516,4.516,4.446,4.486,104121.0,467086.806,0.0,-0.6643046944198483,1.574448942870002
