date,open,high,low,close,volume,amount,turnover_rate,change_pct,amplitude
2023-09-15,26.0,26.22,25.42,25.74,10085.0,259587.9,0.0,,3.147128245475992
2023-09-18,26.09,26.33,25.61,25.96,11067.0,287299.32,0.0,0.8547008547008739,2.811401796173365
2023-09-19,25.81,26.0,25.15,25.28,11083.0,280178.24,0.0,-2.6194144838212585,3.379721669980125
2023-09-20,25.4,25.4,24.81,24.82,7604.0,188731.28,0.0,-1.8196202531645556,2.37807335751713
2023-09-21,25.02,25.15,24.65,24.71,8460.0,209046.6,0.0,-0.4431909750201468,2.028397565922921
2023-09-22,24.75,25.54,24.75,25.53,13919.0,355352.07,0.0,3.3184945366248497,3.191919191919188
2023-09-25,25.54,25.66,24.99,25.22,9809.0,247382.97999999998,0.0,-1.214257735996871,2.681072428971596
2023-09-26,24.97,25.59,24.91,25.03,8394.0,210101.82,0.0,-0.7533703409991932,2.7298273785628253
2023-09-27,25.29,26.15,25.06,25.62,18985.0,486395.7,0.0,2.357171394326807,4.3495610534716675
2023-09-28,25.79,26.04,25.62,26.02,11268.0,293193.36,0.0,1.5612802498048417,1.6393442622950747
2023-10-09,25.94,26.15,25.71,25.71,10539.0,270957.69,0.0,-1.191391237509598,1.7113963438350748
2023-10-10,25.92,26.0,25.37,25.44,10070.0,256180.80000000002,0.0,-1.0501750291715295,2.4832479306267206
2023-10-11,25.68,25.8,25.45,25.63,6640.0,170183.19999999998,0.0,0.7468553459119454,1.3752455795677856
2023-10-12,25.7,26.09,25.53,25.98,11687.0,303628.26,0.0,1.3655872024970872,2.1934978456717538
2023-10-13,25.96,25.97,25.41,25.74,10928.0,281286.72,0.0,-0.9237875288683695,2.2038567493112895
2023-10-16,25.79,25.84,25.0,25.13,11721.0,294548.73,0.0,-2.3698523698523655,3.359999999999999
2023-10-17,25.36,25.38,23.66,24.1,23237.0,560011.7000000001,0.0,-4.098686828491838,7.269653423499572
2023-10-18,24.1,24.37,23.96,23.97,14694.0,352215.18,0.0,-0.5394190871369386,1.7111853088480806
2023-10-19,23.7,24.17,23.69,23.82,11670.0,277979.4,0.0,-0.6257822277847214,2.0261713803292545
2023-10-20,23.9,24.64,23.63,24.0,15320.0,367680.0,0.0,0.7556675062972307,4.274227676682191
2023-10-23,23.89,24.09,22.71,22.8,16031.0,365506.8,0.0,-4.999999999999993,6.0766182298546845
2023-10-24,22.82,24.0,22.82,24.0,20599.0,494376.0,0.0,5.263157894736836,5.170902716914986
2023-10-25,24.02,24.66,24.02,24.42,18676.0,456067.92000000004,0.0,1.750000000000007,2.6644462947543737
2023-10-26,24.11,24.39,23.6,24.31,16471.0,400410.00999999995,0.0,-0.45045045045046805,3.3474576271186405
