date,open,high,low,close,volume,ma_price5,ma_volume5,amount,amplitude,price_change_pct,turnover_rate
2025-12-30,265.6,276.82,220.23,226.01,18069046,,,4083785086.46,21.31,-14.91,4.49
2025-12-31,240.0,276.57,235.03,256.8,13807498,,,3545765486.4,17.31,7.0,4.79
2026-01-05,275.0,308.0,275.0,283.0,10320435,,,2920683105.0,12.0,2.91,0.38
2026-01-06,275.0,298.81,275.0,293.0,7839358,,,2296931894.0,8.66,6.55,0.55
2026-01-07,315.0,349.73,315.0,329.77,7733499,277.716,11553967.0,2550275965.23,11.03,4.69,0.17
2026-01-08,320.68,348.5,313.88,323.0,7535577,297.114,9447273.0,2433991371.0,10.8,0.72,4.38
2026-01-09,310.2,386.0,301.2,367.0,9514809,319.154,8588736.0,3491934903.0,27.34,18.31,2.73
2026-01-12,370.0,372.5,340.13,356.0,5672358,333.754,7659120.0,2019359448.0,8.75,-3.78,1.03
2026-01-13,350.12,383.2,350.0,361.0,5340427,347.354,7159334.0,1927894147.0,9.48,3.11,3.76
2026-01-14,361.01,398.88,360.0,368.0,5214987,355.0,6655632.0,1919115216.0,10.77,1.94,1.76
2026-01-15,366.99,396.0,352.6,388.9,4603100,368.18,6069136.0,1790145590.0,11.83,5.97,3.45
2026-01-16,394.99,407.77,379.0,385.0,4340608,371.78,5034296.0,1671134080.0,7.28,-2.53,1.31
2026-01-19,382.0,392.85,368.39,370.57,3663581,374.694,4632541.0,1357613211.17,6.4,-2.99,2.31
2026-01-20,369.0,390.0,365.0,373.0,4070799,377.094,4378615.0,1518408027.0,6.78,1.08,2.75
2026-01-21,375.99,393.99,353.56,362.78,4409367,376.05,4217491.0,1599630160.26,10.75,-3.51,1.28
2026-01-22,368.83,371.83,338.88,345.01,4388216,367.272,4174514.0,1513978402.1599998,8.93,-6.46,3.65
2026-01-23,342.02,357.29,338.99,353.0,3125485,360.872,3931490.0,1103296205.0,5.35,3.21,4.01
2026-01-26,351.0,362.0,337.0,344.0,2351574,355.558,3669088.0,808941456.0,7.12,-1.99,4.68
2026-01-27,342.34,377.0,342.34,362.02,4564717,353.362,3767872.0,1652518848.34,10.12,5.75,0.83
2026-01-28,363.2,370.0,332.07,347.0,5003612,350.206,3886721.0,1736253364.0,10.44,-4.46,2.22
2026-01-29,341.0,342.99,316.0,317.3,3916872,344.664,3792452.0,1242823485.6000001,7.91,-6.95,2.86
2026-01-30,315.2,324.8,313.5,321.0,2920900,338.264,3751535.0,937608900.0,3.59,1.84,0.84
2026-02-02,315.0,321.9,307.02,309.67,2133178,331.398,3707856.0,660581231.26,4.72,-1.69,0.66
2026-02-03,327.98,355.77,327.95,353.17,6200319,329.628,4034976.0,2189766661.23,8.48,7.68,0.14
2026-02-04,345.0,348.99,331.0,337.25,2546629,327.678,3543580.0,858850630.25,5.21,-2.25,4.38
2026-02-05,326.01,348.78,323.8,336.7,3260448,331.558,3412295.0,1097792841.6,7.66,3.28,2.85
2026-02-06,334.0,346.68,324.86,324.86,3039787,332.33,3436072.0,987505204.82,6.53,-2.74,2.94
2026-02-09,332.01,345.7,331.01,337.62,2222275,337.92,3453892.0,750284485.5,4.42,1.69,4.84
2026-02-10,336.99,340.0,328.3,335.0,1414655,334.286,2496759.0,473909425.0,3.47,-0.59,2.78
2026-02-11,332.2,336.98,323.08,325.5,1509005,331.936,2289234.0,491181127.5,4.18,-2.02,0.9
2026-02-12,327.44,335.81,322.22,328.29,1925914,330.254,2022327.0,632258307.0600001,4.15,0.26,4.05
2026-02-13,325.0,352.0,322.01,343.0,2872271,333.882,1988824.0,985188953.0,9.23,5.54,3.98
2026-02-24,349.97,349.97,337.94,340.25,2161691,334.408,1976707.0,735515362.75,3.44,-2.78,3.15
2026-02-25,341.99,370.0,336.12,357.5,3548114,338.908,2403399.0,1268450755.0,9.91,4.54,4.47
2026-02-26,354.94,377.0,347.0,370.11,2537357,347.83,2609069.0,939101199.27,8.45,4.27,2.63
2026-02-27,365.0,379.0,361.85,370.5,1730699,356.272,2570026.0,641223979.5,4.7,1.51,0.52
2026-03-02,361.0,373.73,350.33,353.98,2309069,358.468,2457386.0,817364244.62,6.48,-1.94,2.72
2026-03-03,354.0,366.6,324.01,324.63,2667693,355.344,2558586.0,866013178.59,12.03,-8.3,0.32
2026-03-04,320.2,338.88,320.02,330.08,1692581,349.86,2187480.0,558687136.48,5.89,3.09,3.3
2026-03-05,373.11,396.1,367.0,387.9,5464183,353.418,2772845.0,2119556585.6999998,7.8,3.96,2.65
2026-03-06,378.0,387.71,370.41,376.09,3118068,354.536,3050319.0,1172674194.12,4.58,-0.51,1.02
2026-03-09,360.11,367.95,341.0,354.65,2814215,354.67,3151348.0,998061349.7499999,7.48,-1.52,2.47
2026-03-10,363.0,381.98,360.0,368.49,2576595,363.442,3133128.0,949449491.5500001,6.06,1.51,0.21
2026-03-11,364.0,376.66,354.36,355.0,2148430,368.426,3224298.0,762692650.0,6.13,-2.47,0.75
2026-03-12,352.0,359.8,341.6,345.91,1586104,360.028,2448682.0,548649234.64,5.17,-1.73,0.37
2026-03-13,343.99,354.87,336.0,337.5,2042596,352.31,2233588.0,689376150.0,5.49,-1.89,4.21
2026-03-16,336.0,349.0,330.0,348.52,1857879,351.084,2042321.0,647507989.0799999,5.65,3.73,4.97
2026-03-17,347.08,348.88,333.0,334.6,1454924,344.306,1817987.0,486817570.40000004,4.58,-3.6,0.25
2026-03-18,339.0,358.88,336.0,358.88,2502230,345.082,1888747.0,898000302.4,6.75,5.86,1.72
2026-03-19,351.0,355.55,347.0,351.0,1654950,346.1,1902516.0,580887450.0,2.44,0.0,4.52
2026-03-20,353.0,356.0,345.0,345.28,1459152,347.656,1785827.0,503816002.55999994,3.12,-2.19,2.13
2026-03-23,334.0,340.84,330.28,333.0,1146150,344.552,1643481.0,381667950.0,3.16,-0.3,4.74
2026-03-24,338.5,341.0,332.15,340.3,1163326,345.692,1585162.0,395879837.8,2.61,0.53,0.63
2026-03-25,346.42,350.59,336.68,339.0,1541997,341.716,1393115.0,522736983.0,4.02,-2.14,3.53
2026-03-26,335.0,335.0,312.01,315.0,2450571,334.516,1552239.0,771929865.0,6.86,-5.97,3.35
2026-03-27,303.03,321.18,301.21,316.4,1604372,328.74,1581283.0,507623300.79999995,6.59,4.41,0.87
2026-03-30,308.88,323.27,307.01,322.4,1406844,326.62,1633422.0,453566505.59999996,5.26,4.38,4.99
2026-03-31,318.9,320.2,303.33,305.8,1325394,319.72,1665836.0,405305485.2,5.29,-4.11,4.85
2026-04-01,315.0,329.0,311.0,327.0,2499526,317.32,1857341.0,817345002.0,5.71,3.81,1.26
2026-04-02,326.0,332.01,317.01,318.4,1467273,318.0,1660682.0,467179723.2,4.6,-2.33,3.11
2026-04-03,321.56,326.88,315.44,315.44,1150256,317.808,1569859.0,362836752.64,3.56,-1.9,3.94
2026-04-07,338.0,339.3,321.01,322.3,2507675,317.788,1790025.0,808223652.5,5.41,-4.64,3.77
2026-04-08,332.0,340.87,330.0,340.68,2481385,324.764,2021223.0,845358241.8000001,3.27,2.61,3.19
2026-04-09,337.34,352.96,335.58,341.25,2135746,327.614,1948467.0,728823322.5,5.15,1.16,2.4
2026-04-10,344.0,350.66,340.91,344.78,1988729,332.89,2052758.0,685673984.62,2.83,0.23,2.18
2026-04-13,341.04,355.0,340.11,348.6,2070398,339.522,2236787.0,721740742.8000001,4.37,2.22,3.43
2026-04-14,354.08,384.87,354.08,367.35,3375188,348.532,2410289.0,1239875311.8000002,8.7,3.75,4.68
2026-04-15,369.85,376.5,361.7,370.59,2491373,354.514,2412287.0,923277920.0699999,4.0,0.2,3.39
2026-04-16,371.0,375.77,360.01,375.35,2436597,361.334,2472457.0,914576683.95,4.25,1.17,3.85
2026-04-17,369.98,422.62,366.8,417.0,3809278,375.778,2836567.0,1588468926.0,15.09,12.71,1.32
2026-04-20,418.0,426.0,400.0,403.18,2632881,386.694,2949063.0,1061524961.58,6.22,-3.55,0.98
2026-04-21,401.51,405.99,391.5,401.91,2110381,393.606,2696102.0,848183227.71,3.61,0.1,1.34
2026-04-22,395.7,437.67,393.04,437.0,3128968,406.888,2823621.0,1367359016.0,11.28,10.44,1.18
2026-04-23,432.0,439.98,402.23,404.5,3126003,412.718,2961502.0,1264468213.5,8.74,-6.37,3.05
2026-04-24,406.0,415.98,400.6,406.76,2253614,410.67,2650369.0,916680030.64,3.79,0.19,4.25
2026-04-27,416.76,444.78,406.81,432.55,3006567,416.544,2725107.0,1300490555.8500001,9.11,3.79,4.36
2026-04-28,426.44,432.54,408.6,416.3,2237710,419.422,2750572.0,931558673.0,5.61,-2.38,0.25
2026-04-29,409.6,413.45,392.5,407.5,2378907,413.522,2600560.0,969404602.5,5.11,-0.51,3.79
2026-04-30,407.38,425.0,407.38,423.25,2096629,417.272,2394685.0,887398224.25,4.33,3.9,3.67
2026-05-06,435.0,459.87,427.27,437.1,2870492,423.34,2518061.0,1254692053.2,7.49,0.48,4.93
2026-05-07,433.0,449.59,426.0,444.58,2027085,425.746,2322165.0,901201449.3,5.45,2.67,1.97
2026-05-08,435.0,435.2,418.0,419.06,2640997,426.298,2402822.0,1106736202.82,3.95,-3.66,4.82
2026-05-11,426.98,449.6,420.02,449.0,2929158,434.598,2512872.0,1315191942.0,6.93,5.16,2.42
